Id,PAXCOUNT,SALESCHANNEL,TRIPTYPEDESC,PURCHASELEAD,LENGTHOFSTAY,flight_hour,flight_day,ROUTE,geoNetwork_country,BAGGAGE_CATEGORY,SEAT_CATEGORY,FNB_CATEGORY,INS_FLAG,flightDuration_hour
147,1,Mobile,RoundTrip,154,25,22,Mon,AKLKUL,Malaysia,1,0,0,0,8.83
148,1,Internet,RoundTrip,118,19,1,Tue,AKLKUL,New Zealand,1,0,1,0,8.83
149,1,Internet,RoundTrip,55,20,22,Wed,AKLKUL,New Zealand,0,0,0,0,8.83
150,1,Mobile,RoundTrip,45,35,1,Sat,AKLKUL,New Zealand,0,0,0,0,8.83
151,1,Internet,RoundTrip,54,23,4,Sun,AKLKUL,New Zealand,0,0,1,0,8.83
152,1,Internet,RoundTrip,193,19,13,Tue,AKLKUL,Malaysia,0,0,0,0,8.83
153,1,Internet,RoundTrip,10,91,23,Tue,AKLKUL,Singapore,1,0,0,1,8.83
154,1,Internet,RoundTrip,166,18,20,Wed,AKLKUL,New Zealand,1,0,1,0,8.83
155,1,Internet,RoundTrip,97,25,9,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
156,5,Internet,RoundTrip,239,17,12,Thu,AKLKUL,Malaysia,1,0,1,0,8.83
157,2,Internet,RoundTrip,97,50,8,Sat,AKLKUL,New Zealand,1,1,1,0,8.83
158,1,Internet,RoundTrip,182,28,10,Sun,AKLKUL,Vietnam,0,0,1,0,8.83
159,1,Internet,RoundTrip,99,21,13,Sun,AKLKUL,Singapore,0,0,0,1,8.83
160,1,Internet,RoundTrip,23,59,9,Tue,AKLKUL,New Zealand,1,0,1,0,8.83
161,1,Mobile,RoundTrip,53,18,9,Mon,AKLKUL,Malaysia,1,1,0,0,8.83
162,1,Internet,RoundTrip,28,125,12,Sat,AKLKUL,Malaysia,0,0,0,0,8.83
163,1,Internet,RoundTrip,384,18,5,Thu,AKLKUL,Malaysia,0,0,0,0,8.83
164,2,Internet,RoundTrip,22,27,23,Fri,AKLKUL,New Zealand,1,0,1,0,8.83
165,1,Internet,RoundTrip,70,106,3,Thu,AKLKUL,Malaysia,1,0,1,0,8.83
166,1,Internet,RoundTrip,126,28,20,Sun,AKLKUL,Germany,1,0,0,0,8.83
167,1,Internet,RoundTrip,8,45,8,Tue,AKLKUL,Malaysia,0,0,0,0,8.83
168,2,Internet,RoundTrip,51,29,11,Sun,AKLKUL,New Zealand,1,0,1,0,8.83
169,1,Internet,RoundTrip,142,124,9,Wed,AKLKUL,Malaysia,1,0,0,1,8.83
170,1,Internet,RoundTrip,87,33,9,Sat,AKLKUL,Thailand,1,0,0,0,8.83
171,5,Mobile,RoundTrip,238,21,8,Fri,AKLKUL,New Zealand,1,1,1,0,8.83
172,2,Internet,RoundTrip,86,34,0,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
173,1,Mobile,RoundTrip,313,35,20,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
174,2,Internet,RoundTrip,41,20,20,Sun,AKLKUL,Spain,1,1,1,0,8.83
175,1,Internet,RoundTrip,91,46,8,Wed,AKLKUL,New Zealand,1,1,1,0,8.83
176,1,Mobile,RoundTrip,41,21,12,Tue,AKLKUL,Malaysia,1,0,0,0,8.83
177,1,Internet,RoundTrip,82,33,10,Tue,AKLKUL,New Zealand,1,0,0,0,8.83
178,5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
179,4,Internet,RoundTrip,6,55,5,Thu,AKLKUL,New Zealand,1,1,0,0,8.83
180,5,Internet,RoundTrip,197,18,10,Fri,AKLKUL,Malaysia,1,0,1,0,8.83
181,1,Internet,RoundTrip,34,22,13,Tue,AKLKUL,Malaysia,1,0,1,1,8.83
182,2,Internet,RoundTrip,112,21,17,Tue,AKLKUL,Malaysia,1,0,0,0,8.83
183,2,Internet,RoundTrip,268,47,1,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
184,1,Internet,RoundTrip,157,26,15,Mon,AKLKUL,Romania,1,0,1,0,8.83
185,2,Internet,RoundTrip,145,51,4,Wed,AKLKUL,Malaysia,1,1,1,0,8.83
186,4,Internet,RoundTrip,241,24,9,Mon,AKLKUL,New Zealand,0,0,0,0,8.83
187,1,Internet,RoundTrip,172,17,9,Fri,AKLKUL,Ireland,0,0,1,0,8.83
188,1,Internet,RoundTrip,99,19,7,Wed,AKLKUL,Malaysia,0,0,0,0,8.83
189,1,Mobile,RoundTrip,139,22,8,Sun,AKLKUL,New Zealand,1,0,1,0,8.83
190,1,Internet,RoundTrip,59,35,13,Sun,AKLKUL,Malaysia,0,1,0,1,8.83
191,1,Internet,RoundTrip,396,23,9,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
192,2,Internet,RoundTrip,280,18,23,Tue,AKLKUL,Malaysia,1,0,1,0,8.83
193,1,Internet,RoundTrip,79,23,10,Tue,AKLKUL,Malaysia,0,0,0,0,8.83
194,1,Internet,RoundTrip,37,26,21,Wed,AKLKUL,New Zealand,1,0,0,0,8.83
195,2,Internet,RoundTrip,69,19,17,Sat,AKLKUL,Italy,1,0,0,0,8.83
196,1,Internet,RoundTrip,380,21,21,Thu,AKLKUL,New Zealand,1,1,0,0,8.83
197,5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
198,1,Internet,RoundTrip,13,27,1,Wed,AKLKUL,New Zealand,1,0,1,0,8.83
199,1,Internet,RoundTrip,229,31,2,Fri,AKLKUL,New Zealand,0,0,1,0,8.83
200,1,Internet,RoundTrip,132,20,9,Mon,AKLKUL,Slovakia,1,0,0,0,8.83
201,4,Internet,RoundTrip,121,18,6,Sun,AKLKUL,Malaysia,1,1,1,0,8.83
202,4,Internet,RoundTrip,316,22,14,Thu,AKLKUL,Malaysia,1,0,0,1,8.83
203,5,Internet,RoundTrip,67,35,2,Tue,AKLKUL,Malaysia,1,1,1,1,8.83
204,1,Internet,RoundTrip,419,21,16,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
205,2,Internet,RoundTrip,18,46,2,Mon,AKLKUL,Malaysia,0,0,0,0,8.83
206,1,Internet,RoundTrip,58,21,12,Wed,AKLKUL,United Arab Emirates,1,0,1,0,8.83
207,2,Internet,RoundTrip,115,87,6,Wed,AKLKUL,Tonga,0,0,0,0,8.83
208,1,Internet,RoundTrip,236,91,6,Fri,AKLKUL,Malaysia,1,0,1,0,8.83
209,1,Internet,RoundTrip,225,25,6,Tue,AKLKUL,Germany,1,1,0,1,8.83
210,1,Internet,RoundTrip,116,56,15,Thu,AKLKUL,Malaysia,1,0,0,0,8.83
211,1,Internet,RoundTrip,34,90,7,Sat,AKLKUL,Malaysia,1,1,0,0,8.83
212,1,Internet,RoundTrip,191,60,11,Sun,AKLKUL,Germany,1,0,1,0,8.83
213,1,Internet,RoundTrip,55,22,7,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
214,1,Mobile,RoundTrip,53,180,2,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
215,1,Internet,RoundTrip,13,17,3,Sun,AKLKUL,New Zealand,0,0,0,0,8.83
216,1,Internet,RoundTrip,275,36,4,Wed,AKLKUL,New Zealand,1,1,0,0,8.83
217,1,Internet,RoundTrip,58,17,7,Sun,AKLKUL,New Zealand,1,0,1,0,8.83
218,2,Internet,RoundTrip,45,25,1,Mon,AKLKUL,New Zealand,0,0,0,0,8.83
219,2,Internet,RoundTrip,417,22,4,Sun,AKLKUL,New Zealand,1,0,1,0,8.83
220,2,Internet,RoundTrip,159,21,8,Fri,AKLKUL,New Zealand,1,0,0,0,8.83
221,2,Internet,RoundTrip,173,40,8,Sun,AKLKUL,New Zealand,0,0,0,0,8.83
222,2,Internet,RoundTrip,92,65,13,Mon,AKLKUL,Réunion,1,0,0,0,8.83
223,1,Internet,RoundTrip,106,208,4,Thu,AKLKUL,Japan,1,0,0,0,8.83
224,3,Internet,RoundTrip,316,35,16,Tue,AKLKUL,Malaysia,0,0,0,0,8.83
225,2,Internet,RoundTrip,245,27,11,Mon,AKLKUL,New Zealand,0,0,0,1,8.83
226,3,Internet,RoundTrip,218,21,8,Tue,AKLKUL,New Zealand,0,0,0,0,8.83
227,1,Internet,RoundTrip,96,106,1,Sun,AKLKUL,New Zealand,1,1,1,0,8.83
228,1,Internet,RoundTrip,67,22,11,Mon,AKLKUL,Malaysia,0,0,0,0,8.83
229,1,Internet,RoundTrip,145,204,16,Fri,AKLKUL,Malaysia,1,1,1,0,8.83
230,1,Internet,RoundTrip,295,18,6,Mon,AKLKUL,Malaysia,0,0,0,0,8.83
231,1,Internet,RoundTrip,57,51,3,Wed,AKLKUL,New Zealand,1,0,1,0,8.83
232,1,Mobile,RoundTrip,12,20,8,Tue,AKLKUL,New Zealand,1,0,0,0,8.83
233,3,Internet,RoundTrip,77,31,0,Thu,AKLKUL,New Zealand,1,0,0,0,8.83
234,2,Internet,RoundTrip,7,83,16,Tue,AKLKUL,Malaysia,1,0,1,0,8.83
235,1,Mobile,RoundTrip,305,18,3,Wed,AKLKUL,New Zealand,0,0,0,0,8.83
236,2,Internet,RoundTrip,235,18,22,Tue,AKLKUL,Malaysia,1,0,1,1,8.83
237,1,Internet,RoundTrip,332,17,11,Sat,AKLKUL,New Zealand,0,0,0,0,8.83
238,1,Internet,RoundTrip,3,35,6,Tue,AKLKUL,New Zealand,1,0,0,0,8.83
239,2,Internet,RoundTrip,56,42,4,Thu,AKLKUL,Malaysia,1,0,1,1,8.83
240,2,Internet,RoundTrip,125,85,15,Thu,AKLKUL,Malaysia,1,0,0,0,8.83
241,1,Internet,RoundTrip,86,21,2,Sat,AKLKUL,Malaysia,1,0,0,0,8.83
242,2,Internet,RoundTrip,204,24,6,Mon,AKLKUL,New Zealand,1,1,0,0,8.83
243,1,Internet,RoundTrip,310,44,13,Tue,AKLKUL,New Zealand,1,0,1,0,8.83
244,1,Internet,RoundTrip,115,20,7,Mon,AKLKUL,New Zealand,1,0,0,0,8.83
245,1,Internet,RoundTrip,57,24,12,Thu,AKLKUL,New Zealand,1,0,0,0,8.83
246,4,Internet,RoundTrip,368,36,16,Sun,AKLKUL,Malaysia,0,0,0,0,8.83
247,1,Internet,RoundTrip,59,37,15,Sun,AKLKUL,Malaysia,0,0,0,0,8.83
248,1,Internet,RoundTrip,6,21,21,Sun,AKLKUL,New Zealand,0,0,0,0,8.83
249,3,Internet,RoundTrip,67,22,7,Wed,AKLKUL,Vietnam,1,1,0,0,8.83
250,1,Internet,RoundTrip,169,22,9,Sat,AKLKUL,New Zealand,1,0,0,0,8.83
251,1,Internet,RoundTrip,214,38,12,Thu,AKLKUL,Malaysia,0,0,0,0,8.83
252,1,Internet,RoundTrip,5,19,14,Thu,AKLKUL,Malaysia,1,0,0,0,8.83
253,2,Internet,RoundTrip,14,17,10,Sat,AKLKUL,(not set),1,0,0,1,8.83
254,2,Internet,RoundTrip,173,64,14,Thu,AKLKUL,Malaysia,0,0,0,0,8.83
255,1,Internet,RoundTrip,7,22,7,Mon,AKLKUL,New Zealand,1,0,0,0,8.83
256,1,Internet,RoundTrip,196,86,3,Sun,AKLKUL,New Zealand,1,0,0,0,8.83
257,2,Internet,RoundTrip,155,24,7,Sun,AKLKUL,New Zealand,1,0,0,0,8.83
258,1,Internet,RoundTrip,245,19,9,Sat,AKLKUL,New Zealand,0,0,0,0,8.83
259,1,Mobile,RoundTrip,22,82,10,Fri,AKLKUL,Malaysia,1,1,1,1,8.83
260,1,Internet,RoundTrip,325,22,4,Wed,AKLKUL,Malaysia,1,0,0,0,8.83
261,1,Internet,OneWay,6,1,23,Sun,AKLKUL,New Zealand,1,0,0,0,8.83
262,2,Internet,RoundTrip,130,18,10,Mon,AKLKUL,New Zealand,0,0,0,0,8.83
263,1,Internet,RoundTrip,218,17,2,Fri,AKLKUL,Malaysia,1,0,1,1,8.83
264,1,Internet,RoundTrip,189,35,8,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
265,1,Internet,RoundTrip,35,41,15,Thu,AKLKUL,Malaysia,1,1,1,0,8.83
266,1,Internet,RoundTrip,189,60,8,Tue,AKLKUL,New Zealand,0,1,1,0,8.83
267,4,Internet,RoundTrip,226,17,6,Sun,AKLKUL,Malaysia,1,0,0,0,8.83
268,1,Internet,RoundTrip,122,30,13,Thu,AKLKUL,India,1,0,0,0,8.83
269,2,Internet,RoundTrip,88,30,8,Wed,AKLKUL,Malaysia,1,0,1,0,8.83
270,4,Internet,RoundTrip,211,21,10,Fri,AKLKUL,Malaysia,1,0,0,1,8.83
271,1,Internet,RoundTrip,259,82,9,Sun,AKLKUL,Malaysia,1,0,1,1,8.83
272,5,Internet,RoundTrip,188,17,12,Thu,AKLKUL,Malaysia,1,0,1,1,8.83
273,1,Internet,RoundTrip,129,25,9,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
274,2,Internet,RoundTrip,190,69,21,Thu,AKLKUL,New Zealand,1,0,0,0,8.83
275,1,Internet,RoundTrip,172,54,8,Tue,AKLKUL,Malaysia,1,1,1,0,8.83
276,1,Internet,RoundTrip,149,17,4,Mon,AKLKUL,New Zealand,1,0,1,0,8.83
277,1,Internet,RoundTrip,15,28,7,Sun,AKLKUL,Saudi Arabia,0,0,0,1,8.83
